pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0351,28.24.00,Fabbricazione di utensili portatili a motore,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Fabbricazione di utensili portatili a motore — Pericolo vs Metodo81+,SICURIX_TALES_0351_282400_fabbricazione_di_utensili_portatili_a_mo_SICUREZZA_v1.png
0374,28.97.01,Fabbricazione di macchine per la produzione additiva per deposizione di materiali metallici,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Fabbricazione di macchine per la produzione  — Pericolo vs Metodo81+,SICURIX_TALES_0374_289701_fabbricazione_di_macchine_per_la_produzi_SICUREZZA_v1.png
0375,28.97.02,Fabbricazione di macchine per la produzione additiva per deposizione di materie plastiche o di gomma,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Fabbricazione di macchine per la produzione  — Pericolo vs Metodo81+,SICURIX_TALES_0375_289702_fabbricazione_di_macchine_per_la_produzi_SICUREZZA_v1.png
0376,28.97.09,Fabbricazione di macchine per la produzione additiva n.c.a.,Sicurezza,Segnalex|Riskix,Scudix|Formix,Fabbricazione di macchine per la produzione  — Pericolo vs Metodo81+,SICURIX_TALES_0376_289709_fabbricazione_di_macchine_per_la_produzi_SICUREZZA_v1.png
0377,28.99.10,Fabbricazione di macchine per la stampa e la legatoria,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Fabbricazione di macchine per la stampa e la — Pericolo vs Metodo81+,SICURIX_TALES_0377_289910_fabbricazione_di_macchine_per_la_stampa__SICUREZZA_v1.png
0378,28.99.20,Fabbricazione di robot industriali con compiti multipli per scopi speciali,Sicurezza,Cadutix|Schiaccix,Formix|Scudix,Fabbricazione di robot industriali con compi — Pericolo vs Metodo81+,SICURIX_TALES_0378_289920_fabbricazione_di_robot_industriali_con_c_SICUREZZA_v1.png
0379,28.99.91,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e relative attrezzature",Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Fabbricazione di apparecchiature per il lanc — Pericolo vs Metodo81+,SICURIX_TALES_0379_289991_fabbricazione_di_apparecchiature_per_il__SICUREZZA_v1.png
0380,28.99.92,"Fabbricazione di giostre, altalene e altre attrazioni di divertimento",Sicurezza,Voltix|Fumix,Scudix|Formix,"Fabbricazione di giostre, altalene e altre a — Pericolo vs Metodo81+",SICURIX_TALES_0380_289992_fabbricazione_di_giostre_altalene_e_altr_SICUREZZA_v1.png
0381,28.99.93,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote e altre apparecchiature per il bilanciamento,Sicurezza,Fumix|Polverix,Prepostix|Checkix,Fabbricazione di apparecchiature per l'allin — Pericolo vs Metodo81+,SICURIX_TALES_0381_289993_fabbricazione_di_apparecchiature_per_l_a_SICUREZZA_v1.png
0382,28.99.99,Fabbricazione di tutte le altre macchine varie per impieghi speciali n.c.a.,Sicurezza,Polverix|Nondpix,Formix|Scudix,Fabbricazione di tutte le altre macchine var — Pericolo vs Metodo81+,SICURIX_TALES_0382_289999_fabbricazione_di_tutte_le_altre_macchine_SICUREZZA_v1.png
0383,29.10.00,Fabbricazione di autoveicoli,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Fabbricazione di autoveicoli — Pericolo vs Metodo81+,SICURIX_TALES_0383_291000_fabbricazione_di_autoveicoli_SICUREZZA_v1.png
0384,29.20.00,Fabbricazione di carrozzerie per autoveicoli; fabbricazione di rimorchi e semirimorchi,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Fabbricazione di carrozzerie per autoveicoli — Pericolo vs Metodo81+,SICURIX_TALES_0384_292000_fabbricazione_di_carrozzerie_per_autovei_SICUREZZA_v1.png
0385,29.31.00,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Fabbricazione di apparecchiature elettriche  — Pericolo vs Metodo81+,SICURIX_TALES_0385_293100_fabbricazione_di_apparecchiature_elettri_SICUREZZA_v1.png
0386,29.32.00,Fabbricazione di altre parti e accessori per autoveicoli,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Fabbricazione di altre parti e accessori per — Pericolo vs Metodo81+,SICURIX_TALES_0386_293200_fabbricazione_di_altre_parti_e_accessori_SICUREZZA_v1.png
0387,30.11.00,Costruzione di navi e di strutture galleggianti per scopi civili,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Costruzione di navi e di strutture galleggia — Pericolo vs Metodo81+,SICURIX_TALES_0387_301100_costruzione_di_navi_e_di_strutture_galle_SICUREZZA_v1.png
0388,30.12.00,Costruzione di imbarcazioni da diporto e sportive,HACCP,Scadutix|Mescolix,Blinkix|Chefix,Costruzione di imbarcazioni da diporto e spo — Pericolo vs Metodo81+,SICURIX_TALES_0388_301200_costruzione_di_imbarcazioni_da_diporto_e_HACCP_v1.png
0389,30.13.00,Costruzione di navi e imbarcazioni per scopi militari,HACCP,Mescolix|Dosagix,Checkix|Hygienix,Costruzione di navi e imbarcazioni per scopi — Pericolo vs Metodo81+,SICURIX_TALES_0389_301300_costruzione_di_navi_e_imbarcazioni_per_s_HACCP_v1.png
0390,30.20.00,Costruzione di locomotive e di materiale rotabile ferro-tranviario,Sicurezza,Riskix|Cadutix,Formix|Scudix,Costruzione di locomotive e di materiale rot — Pericolo vs Metodo81+,SICURIX_TALES_0390_302000_costruzione_di_locomotive_e_di_materiale_SICUREZZA_v1.png
0391,30.31.00,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi civili",Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,"Fabbricazione di aeromobili, veicoli spazial — Pericolo vs Metodo81+",SICURIX_TALES_0391_303100_fabbricazione_di_aeromobili_veicoli_spaz_SICUREZZA_v1.png
0392,30.32.00,"Fabbricazione di aeromobili, veicoli spaziali e relativi equipaggiamenti per scopi militari",Sicurezza,Schiaccix|Voltix,Scudix|Formix,"Fabbricazione di aeromobili, veicoli spazial — Pericolo vs Metodo81+",SICURIX_TALES_0392_303200_fabbricazione_di_aeromobili_veicoli_spaz_SICUREZZA_v1.png
0393,30.40.00,Fabbricazione di veicoli militari da combattimento,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Fabbricazione di veicoli militari da combatt — Pericolo vs Metodo81+,SICURIX_TALES_0393_304000_fabbricazione_di_veicoli_militari_da_com_SICUREZZA_v1.png
0394,30.91.11,Fabbricazione di motori per motocicli,Sicurezza,Fumix|Polverix,Formix|Scudix,Fabbricazione di motori per motocicli — Pericolo vs Metodo81+,SICURIX_TALES_0394_309111_fabbricazione_di_motori_per_motocicli_SICUREZZA_v1.png
0395,30.91.12,"Fabbricazione di motocicli, esclusi motori",Sicurezza,Polverix|Nondpix,Checkix|Prepostix,"Fabbricazione di motocicli, esclusi motori — Pericolo vs Metodo81+",SICURIX_TALES_0395_309112_fabbricazione_di_motocicli_esclusi_motor_SICUREZZA_v1.png
0396,30.91.20,Fabbricazione di parti e accessori per motocicli,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Fabbricazione di parti e accessori per motoc — Pericolo vs Metodo81+,SICURIX_TALES_0396_309120_fabbricazione_di_parti_e_accessori_per_m_SICUREZZA_v1.png
0397,30.92.10,"Fabbricazione di biciclette, escluse parti e accessori",Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,"Fabbricazione di biciclette, escluse parti e — Pericolo vs Metodo81+",SICURIX_TALES_0397_309210_fabbricazione_di_biciclette_escluse_part_SICUREZZA_v1.png
0398,30.92.20,Fabbricazione di parti e accessori per biciclette,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Fabbricazione di parti e accessori per bicic — Pericolo vs Metodo81+,SICURIX_TALES_0398_309220_fabbricazione_di_parti_e_accessori_per_b_SICUREZZA_v1.png
0399,30.92.30,Fabbricazione di veicoli per disabili,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Fabbricazione di veicoli per disabili — Pericolo vs Metodo81+,SICURIX_TALES_0399_309230_fabbricazione_di_veicoli_per_disabili_SICUREZZA_v1.png
0400,30.92.40,Fabbricazione di carrozzine e passeggini,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Fabbricazione di carrozzine e passeggini — Pericolo vs Metodo81+,SICURIX_TALES_0400_309240_fabbricazione_di_carrozzine_e_passeggini_SICUREZZA_v1.png
