pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0751,47.55.10,Commercio al dettaglio di mobili per la casa,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Commercio al dettaglio di mobili per la casa — Pericolo vs Metodo81+,SICURIX_TALES_0751_475510_commercio_al_dettaglio_di_mobili_per_la__SICUREZZA_v1.png
0775,47.72.12,Commercio al dettaglio di calzature e accessori per calzature per neonati e bambini,Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,Commercio al dettaglio di calzature e access — Pericolo vs Metodo81+,SICURIX_TALES_0775_477212_commercio_al_dettaglio_di_calzature_e_ac_SICUREZZA_v1.png
0776,47.72.20,Commercio al dettaglio di articoli in pelle e articoli da viaggio,Sicurezza,Frettix|Improvvisix,Scudix|Formix,Commercio al dettaglio di articoli in pelle  — Pericolo vs Metodo81+,SICURIX_TALES_0776_477220_commercio_al_dettaglio_di_articoli_in_pe_SICUREZZA_v1.png
0777,47.73.10,Commercio al dettaglio di medicinali soggetti a prescrizione medica,Sicurezza,Improvvisix|Caosix,Prepostix|Checkix,Commercio al dettaglio di medicinali soggett — Pericolo vs Metodo81+,SICURIX_TALES_0777_477310_commercio_al_dettaglio_di_medicinali_sog_SICUREZZA_v1.png
0778,47.73.20,Commercio al dettaglio di rimedi erboristici,Sicurezza,Caosix|Segnalex,Formix|Scudix,Commercio al dettaglio di rimedi erboristici — Pericolo vs Metodo81+,SICURIX_TALES_0778_477320_commercio_al_dettaglio_di_rimedi_erboris_SICUREZZA_v1.png
0779,47.73.90,Commercio al dettaglio di altri prodotti farmaceutici,Sicurezza,Segnalex|Riskix,Checkix|Prepostix,Commercio al dettaglio di altri prodotti far — Pericolo vs Metodo81+,SICURIX_TALES_0779_477390_commercio_al_dettaglio_di_altri_prodotti_SICUREZZA_v1.png
0780,47.74.01,Commercio al dettaglio di occhiali e lenti,Sicurezza,Riskix|Cadutix,Scudix|Formix,Commercio al dettaglio di occhiali e lenti — Pericolo vs Metodo81+,SICURIX_TALES_0780_477401_commercio_al_dettaglio_di_occhiali_e_len_SICUREZZA_v1.png
0781,47.74.09,Commercio al dettaglio di altri articoli medicali e ortopedici,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Commercio al dettaglio di altri articoli med — Pericolo vs Metodo81+,SICURIX_TALES_0781_477409_commercio_al_dettaglio_di_altri_articoli_SICUREZZA_v1.png
0782,47.75.00,Commercio al dettaglio di cosmetici e di articoli di profumeria,Sicurezza,Schiaccix|Voltix,Formix|Scudix,Commercio al dettaglio di cosmetici e di art — Pericolo vs Metodo81+,SICURIX_TALES_0782_477500_commercio_al_dettaglio_di_cosmetici_e_di_SICUREZZA_v1.png
0783,47.76.10,"Commercio al dettaglio di fiori, piante e fertilizzanti",Sicurezza,Voltix|Fumix,Checkix|Prepostix,"Commercio al dettaglio di fiori, piante e fe — Pericolo vs Metodo81+",SICURIX_TALES_0783_477610_commercio_al_dettaglio_di_fiori_piante_e_SICUREZZA_v1.png
0784,47.76.20,Commercio al dettaglio di animali da compagnia e alimenti per animali da compagnia,HACCP,Sporckix|Crossix,Checkix|Hygienix,Commercio al dettaglio di animali da compagn — Pericolo vs Metodo81+,SICURIX_TALES_0784_477620_commercio_al_dettaglio_di_animali_da_com_HACCP_v1.png
0785,47.77.00,Commercio al dettaglio di orologi e articoli di gioielleria,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Commercio al dettaglio di orologi e articoli — Pericolo vs Metodo81+,SICURIX_TALES_0785_477700_commercio_al_dettaglio_di_orologi_e_arti_SICUREZZA_v1.png
0786,47.78.10,Commercio al dettaglio di articoli per fotografia e ottica,Sicurezza,Nondpix|Segnalex,Formix|Scudix,Commercio al dettaglio di articoli per fotog — Pericolo vs Metodo81+,SICURIX_TALES_0786_477810_commercio_al_dettaglio_di_articoli_per_f_SICUREZZA_v1.png
0787,47.78.21,Commercio al dettaglio di souvenir,Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Commercio al dettaglio di souvenir — Pericolo vs Metodo81+,SICURIX_TALES_0787_477821_commercio_al_dettaglio_di_souvenir_SICUREZZA_v1.png
0788,47.78.22,Commercio al dettaglio di articoli di artigianato,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Commercio al dettaglio di articoli di artigi — Pericolo vs Metodo81+,SICURIX_TALES_0788_477822_commercio_al_dettaglio_di_articoli_di_ar_SICUREZZA_v1.png
0789,47.78.23,Commercio al dettaglio di articoli religiosi,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Commercio al dettaglio di articoli religiosi — Pericolo vs Metodo81+,SICURIX_TALES_0789_477823_commercio_al_dettaglio_di_articoli_relig_SICUREZZA_v1.png
0790,47.78.24,Commercio al dettaglio di bigiotteria,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Commercio al dettaglio di bigiotteria — Pericolo vs Metodo81+,SICURIX_TALES_0790_477824_commercio_al_dettaglio_di_bigiotteria_SICUREZZA_v1.png
0791,47.78.25,Commercio al dettaglio di bomboniere,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Commercio al dettaglio di bomboniere — Pericolo vs Metodo81+,SICURIX_TALES_0791_477825_commercio_al_dettaglio_di_bomboniere_SICUREZZA_v1.png
0792,47.78.30,"Commercio al dettaglio di combustibile per uso domestico, bombole di gas, carbone e legna da ardere",Sicurezza,Segnalex|Riskix,Scudix|Formix,Commercio al dettaglio di combustibile per u — Pericolo vs Metodo81+,SICURIX_TALES_0792_477830_commercio_al_dettaglio_di_combustibile_p_SICUREZZA_v1.png
0793,47.78.40,Commercio al dettaglio di prodotti per la pulizia,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Commercio al dettaglio di prodotti per la pu — Pericolo vs Metodo81+,SICURIX_TALES_0793_477840_commercio_al_dettaglio_di_prodotti_per_l_SICUREZZA_v1.png
0794,47.78.91,Commercio al dettaglio di articoli per imballaggio,Sicurezza,Cadutix|Schiaccix,Formix|Scudix,Commercio al dettaglio di articoli per imbal — Pericolo vs Metodo81+,SICURIX_TALES_0794_477891_commercio_al_dettaglio_di_articoli_per_i_SICUREZZA_v1.png
0795,47.78.92,Commercio al dettaglio di articoli funerari e cimiteriali,Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Commercio al dettaglio di articoli funerari  — Pericolo vs Metodo81+,SICURIX_TALES_0795_477892_commercio_al_dettaglio_di_articoli_funer_SICUREZZA_v1.png
0796,47.78.93,Commercio al dettaglio di articoli per adulti,Sicurezza,Voltix|Fumix,Scudix|Formix,Commercio al dettaglio di articoli per adult — Pericolo vs Metodo81+,SICURIX_TALES_0796_477893_commercio_al_dettaglio_di_articoli_per_a_SICUREZZA_v1.png
0797,47.78.99,Commercio al dettaglio di altri prodotti vari non di seconda mano n.c.a.,Sicurezza,Fumix|Polverix,Prepostix|Checkix,Commercio al dettaglio di altri prodotti var — Pericolo vs Metodo81+,SICURIX_TALES_0797_477899_commercio_al_dettaglio_di_altri_prodotti_SICUREZZA_v1.png
0798,47.79.10,Commercio al dettaglio di libri di seconda mano,Sicurezza,Polverix|Nondpix,Formix|Scudix,Commercio al dettaglio di libri di seconda m — Pericolo vs Metodo81+,SICURIX_TALES_0798_477910_commercio_al_dettaglio_di_libri_di_secon_SICUREZZA_v1.png
0799,47.79.20,Commercio al dettaglio di oggetti di antiquariato e mobili di seconda mano,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Commercio al dettaglio di oggetti di antiqua — Pericolo vs Metodo81+,SICURIX_TALES_0799_477920_commercio_al_dettaglio_di_oggetti_di_ant_SICUREZZA_v1.png
0800,47.79.31,Commercio al dettaglio di articoli di abbigliamento di seconda mano,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Commercio al dettaglio di articoli di abbigl — Pericolo vs Metodo81+,SICURIX_TALES_0800_477931_commercio_al_dettaglio_di_articoli_di_ab_SICUREZZA_v1.png
