pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0451,33.12.52,Riparazione e manutenzione di bilance e distributori automatici,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Riparazione e manutenzione di bilance e dist — Pericolo vs Metodo81+,SICURIX_TALES_0451_331252_riparazione_e_manutenzione_di_bilance_e__SICUREZZA_v1.png
0463,33.14.00,Riparazione e manutenzione di apparecchiature elettriche,Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,Riparazione e manutenzione di apparecchiatur — Pericolo vs Metodo81+,SICURIX_TALES_0463_331400_riparazione_e_manutenzione_di_apparecchi_SICUREZZA_v1.png
0464,33.15.00,Riparazione e manutenzione di navi e imbarcazioni per scopi civili,HACCP,Temporix|Scadutix,Checkix|Hygienix,Riparazione e manutenzione di navi e imbarca — Pericolo vs Metodo81+,SICURIX_TALES_0464_331500_riparazione_e_manutenzione_di_navi_e_imb_HACCP_v1.png
0465,33.16.00,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili,Sicurezza,Improvvisix|Caosix,Prepostix|Checkix,Riparazione e manutenzione di aeromobili e v — Pericolo vs Metodo81+,SICURIX_TALES_0465_331600_riparazione_e_manutenzione_di_aeromobili_SICUREZZA_v1.png
0466,33.17.00,Riparazione e manutenzione di altri mezzi di trasporto per scopi civili,Sicurezza,Caosix|Segnalex,Formix|Scudix,Riparazione e manutenzione di altri mezzi di — Pericolo vs Metodo81+,SICURIX_TALES_0466_331700_riparazione_e_manutenzione_di_altri_mezz_SICUREZZA_v1.png
0467,33.18.10,Riparazione e manutenzione di veicoli da combattimento per scopi militari,Sicurezza,Segnalex|Riskix,Checkix|Prepostix,Riparazione e manutenzione di veicoli da com — Pericolo vs Metodo81+,SICURIX_TALES_0467_331810_riparazione_e_manutenzione_di_veicoli_da_SICUREZZA_v1.png
0468,33.18.20,Riparazione e manutenzione di navi e imbarcazioni per scopi militari,HACCP,Acquaix|Sporckix,Blinkix|Chefix,Riparazione e manutenzione di navi e imbarca — Pericolo vs Metodo81+,SICURIX_TALES_0468_331820_riparazione_e_manutenzione_di_navi_e_imb_HACCP_v1.png
0469,33.18.30,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi militari,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Riparazione e manutenzione di aeromobili e v — Pericolo vs Metodo81+,SICURIX_TALES_0469_331830_riparazione_e_manutenzione_di_aeromobili_SICUREZZA_v1.png
0470,33.19.00,Riparazione e manutenzione di altre apparecchiature,Sicurezza,Schiaccix|Voltix,Formix|Scudix,Riparazione e manutenzione di altre apparecc — Pericolo vs Metodo81+,SICURIX_TALES_0470_331900_riparazione_e_manutenzione_di_altre_appa_SICUREZZA_v1.png
0471,33.20.01,"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il controllo della elettricità",Sicurezza,Voltix|Fumix,Checkix|Prepostix,"Installazione di motori, generatori e trasfo — Pericolo vs Metodo81+",SICURIX_TALES_0471_332001_installazione_di_motori_generatori_e_tra_SICUREZZA_v1.png
0472,33.20.02,Installazione di apparecchiature per le comunicazioni e di apparecchiature radiotelevisive,Sicurezza,Fumix|Polverix,Scudix|Formix,Installazione di apparecchiature per le comu — Pericolo vs Metodo81+,SICURIX_TALES_0472_332002_installazione_di_apparecchiature_per_le__SICUREZZA_v1.png
0473,33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Installazione di strumenti e apparecchi di m — Pericolo vs Metodo81+,SICURIX_TALES_0473_332003_installazione_di_strumenti_e_apparecchi__SICUREZZA_v1.png
0474,33.20.04,"Installazione di cisterne, serbatoi e contenitori in metallo",Sicurezza,Nondpix|Segnalex,Formix|Scudix,"Installazione di cisterne, serbatoi e conten — Pericolo vs Metodo81+",SICURIX_TALES_0474_332004_installazione_di_cisterne_serbatoi_e_con_SICUREZZA_v1.png
0475,33.20.05,Installazione di generatori di vapore,Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Installazione di generatori di vapore — Pericolo vs Metodo81+,SICURIX_TALES_0475_332005_installazione_di_generatori_di_vapore_SICUREZZA_v1.png
0476,33.20.06,Installazione di macchinari e attrezzature per ufficio,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Installazione di macchinari e attrezzature p — Pericolo vs Metodo81+,SICURIX_TALES_0476_332006_installazione_di_macchinari_e_attrezzatu_SICUREZZA_v1.png
0477,33.20.07,Installazione di strumenti e apparecchiature mediche e dentistiche,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Installazione di strumenti e apparecchiature — Pericolo vs Metodo81+,SICURIX_TALES_0477_332007_installazione_di_strumenti_e_apparecchia_SICUREZZA_v1.png
0478,33.20.09,Installazione di altre macchine e apparecchiature industriali,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Installazione di altre macchine e apparecchi — Pericolo vs Metodo81+,SICURIX_TALES_0478_332009_installazione_di_altre_macchine_e_appare_SICUREZZA_v1.png
0479,35.11.00,Produzione di energia elettrica da fonti non rinnovabili,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Produzione di energia elettrica da fonti non — Pericolo vs Metodo81+,SICURIX_TALES_0479_351100_produzione_di_energia_elettrica_da_fonti_SICUREZZA_v1.png
0480,35.12.00,Produzione di energia elettrica da fonti rinnovabili,Sicurezza,Segnalex|Riskix,Scudix|Formix,Produzione di energia elettrica da fonti rin — Pericolo vs Metodo81+,SICURIX_TALES_0480_351200_produzione_di_energia_elettrica_da_fonti_SICUREZZA_v1.png
0481,35.13.00,Trasmissione di energia elettrica,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Trasmissione di energia elettrica — Pericolo vs Metodo81+,SICURIX_TALES_0481_351300_trasmissione_di_energia_elettrica_SICUREZZA_v1.png
0482,35.14.00,Distribuzione di energia elettrica,Sicurezza,Cadutix|Schiaccix,Formix|Scudix,Distribuzione di energia elettrica — Pericolo vs Metodo81+,SICURIX_TALES_0482_351400_distribuzione_di_energia_elettrica_SICUREZZA_v1.png
0483,35.15.00,Commercio di energia elettrica,Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Commercio di energia elettrica — Pericolo vs Metodo81+,SICURIX_TALES_0483_351500_commercio_di_energia_elettrica_SICUREZZA_v1.png
0484,35.16.00,Stoccaggio di energia elettrica,Sicurezza,Voltix|Fumix,Scudix|Formix,Stoccaggio di energia elettrica — Pericolo vs Metodo81+,SICURIX_TALES_0484_351600_stoccaggio_di_energia_elettrica_SICUREZZA_v1.png
0485,35.21.00,Produzione di gas,Sicurezza,Fumix|Polverix,Prepostix|Checkix,Produzione di gas — Pericolo vs Metodo81+,SICURIX_TALES_0485_352100_produzione_di_gas_SICUREZZA_v1.png
0486,35.22.00,Distribuzione di combustibili gassosi mediante condotte,Sicurezza,Polverix|Nondpix,Formix|Scudix,Distribuzione di combustibili gassosi median — Pericolo vs Metodo81+,SICURIX_TALES_0486_352200_distribuzione_di_combustibili_gassosi_me_SICUREZZA_v1.png
0487,35.23.00,Commercio di gas distribuito mediante condotte,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Commercio di gas distribuito mediante condot — Pericolo vs Metodo81+,SICURIX_TALES_0487_352300_commercio_di_gas_distribuito_mediante_co_SICUREZZA_v1.png
0488,35.24.00,Stoccaggio di gas nell'ambito dei servizi di fornitura della rete,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Stoccaggio di gas nell'ambito dei servizi di — Pericolo vs Metodo81+,SICURIX_TALES_0488_352400_stoccaggio_di_gas_nell_ambito_dei_serviz_SICUREZZA_v1.png
0489,35.30.00,Fornitura di vapore e aria condizionata,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Fornitura di vapore e aria condizionata — Pericolo vs Metodo81+,SICURIX_TALES_0489_353000_fornitura_di_vapore_e_aria_condizionata_SICUREZZA_v1.png
0490,35.40.00,Attività di servizi di intermediazione per l'energia elettrica e il gas naturale,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Attività di servizi di intermediazione per l — Pericolo vs Metodo81+,SICURIX_TALES_0490_354000_attivit_di_servizi_di_intermediazione_pe_SICUREZZA_v1.png
0491,36.00.00,"Raccolta, trattamento e fornitura di acqua",Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,"Raccolta, trattamento e fornitura di acqua — Pericolo vs Metodo81+",SICURIX_TALES_0491_360000_raccolta_trattamento_e_fornitura_di_acqu_SICUREZZA_v1.png
0492,37.00.00,Gestione delle reti fognarie,Sicurezza,Caosix|Segnalex,Scudix|Formix,Gestione delle reti fognarie — Pericolo vs Metodo81+,SICURIX_TALES_0492_370000_gestione_delle_reti_fognarie_SICUREZZA_v1.png
0493,38.11.00,Raccolta di rifiuti non pericolosi,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Raccolta di rifiuti non pericolosi — Pericolo vs Metodo81+,SICURIX_TALES_0493_381100_raccolta_di_rifiuti_non_pericolosi_SICUREZZA_v1.png
0494,38.12.00,Raccolta di rifiuti pericolosi,Sicurezza,Riskix|Cadutix,Formix|Scudix,Raccolta di rifiuti pericolosi — Pericolo vs Metodo81+,SICURIX_TALES_0494_381200_raccolta_di_rifiuti_pericolosi_SICUREZZA_v1.png
0495,38.21.11,Smantellamento di carcasse di navi per il recupero dei materiali,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Smantellamento di carcasse di navi per il re — Pericolo vs Metodo81+,SICURIX_TALES_0495_382111_smantellamento_di_carcasse_di_navi_per_i_SICUREZZA_v1.png
0496,38.21.12,Smantellamento di altre carcasse,Sicurezza,Schiaccix|Voltix,Scudix|Formix,Smantellamento di altre carcasse — Pericolo vs Metodo81+,SICURIX_TALES_0496_382112_smantellamento_di_altre_carcasse_SICUREZZA_v1.png
0497,38.21.20,Recupero dei materiali da rifiuti metallici,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Recupero dei materiali da rifiuti metallici — Pericolo vs Metodo81+,SICURIX_TALES_0497_382120_recupero_dei_materiali_da_rifiuti_metall_SICUREZZA_v1.png
0498,38.21.30,Recupero dei materiali da rifiuti plastici,Sicurezza,Fumix|Polverix,Formix|Scudix,Recupero dei materiali da rifiuti plastici — Pericolo vs Metodo81+,SICURIX_TALES_0498_382130_recupero_dei_materiali_da_rifiuti_plasti_SICUREZZA_v1.png
0499,38.21.40,Recupero dei materiali da altri rifiuti,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Recupero dei materiali da altri rifiuti — Pericolo vs Metodo81+,SICURIX_TALES_0499_382140_recupero_dei_materiali_da_altri_rifiuti_SICUREZZA_v1.png
0500,38.22.00,Recupero di energia,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Recupero di energia — Pericolo vs Metodo81+,SICURIX_TALES_0500_382200_recupero_di_energia_SICUREZZA_v1.png
