pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0301,25.93.20,Fabbricazione di catene,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Fabbricazione di catene — Pericolo vs Metodo81+,SICURIX_TALES_0301_259320_fabbricazione_di_catene_SICUREZZA_v1.png
0312,26.40.01,Fabbricazione di console per videogiochi,Sicurezza,Riskix|Cadutix,Scudix|Formix,Fabbricazione di console per videogiochi — Pericolo vs Metodo81+,SICURIX_TALES_0312_264001_fabbricazione_di_console_per_videogiochi_SICUREZZA_v1.png
0313,26.40.09,Fabbricazione di altri prodotti di elettronica di consumo,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Fabbricazione di altri prodotti di elettroni — Pericolo vs Metodo81+,SICURIX_TALES_0313_264009_fabbricazione_di_altri_prodotti_di_elett_SICUREZZA_v1.png
0314,26.51.10,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",Sicurezza,Schiaccix|Voltix,Formix|Scudix,"Fabbricazione di strumenti per navigazione,  — Pericolo vs Metodo81+",SICURIX_TALES_0314_265110_fabbricazione_di_strumenti_per_navigazio_SICUREZZA_v1.png
0315,26.51.21,Fabbricazione di sistemi antifurto e antincendio,Sicurezza,Voltix|Fumix,Checkix|Prepostix,Fabbricazione di sistemi antifurto e antince — Pericolo vs Metodo81+,SICURIX_TALES_0315_265121_fabbricazione_di_sistemi_antifurto_e_ant_SICUREZZA_v1.png
0316,26.51.29,Fabbricazione di altri strumenti e apparecchi di misurazione e prova n.c.a.,Sicurezza,Fumix|Polverix,Scudix|Formix,Fabbricazione di altri strumenti e apparecch — Pericolo vs Metodo81+,SICURIX_TALES_0316_265129_fabbricazione_di_altri_strumenti_e_appar_SICUREZZA_v1.png
0317,26.52.00,Fabbricazione di orologi,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Fabbricazione di orologi — Pericolo vs Metodo81+,SICURIX_TALES_0317_265200_fabbricazione_di_orologi_SICUREZZA_v1.png
0318,26.60.01,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi medici",Sicurezza,Nondpix|Segnalex,Formix|Scudix,Fabbricazione di apparecchiature per irradia — Pericolo vs Metodo81+,SICURIX_TALES_0318_266001_fabbricazione_di_apparecchiature_per_irr_SICUREZZA_v1.png
0319,26.60.02,"Fabbricazione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche per usi non medici",Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Fabbricazione di apparecchiature per irradia — Pericolo vs Metodo81+,SICURIX_TALES_0319_266002_fabbricazione_di_apparecchiature_per_irr_SICUREZZA_v1.png
0320,26.70.11,Fabbricazione di strumenti ottici e strumenti ottici di precisione,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Fabbricazione di strumenti ottici e strument — Pericolo vs Metodo81+,SICURIX_TALES_0320_267011_fabbricazione_di_strumenti_ottici_e_stru_SICUREZZA_v1.png
0321,26.70.12,Fabbricazione di strumenti ottici di misurazione e controllo,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Fabbricazione di strumenti ottici di misuraz — Pericolo vs Metodo81+,SICURIX_TALES_0321_267012_fabbricazione_di_strumenti_ottici_di_mis_SICUREZZA_v1.png
0322,26.70.20,Fabbricazione di supporti magnetici e ottici,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Fabbricazione di supporti magnetici e ottici — Pericolo vs Metodo81+,SICURIX_TALES_0322_267020_fabbricazione_di_supporti_magnetici_e_ot_SICUREZZA_v1.png
0323,26.70.30,Fabbricazione di apparecchiature fotografiche,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Fabbricazione di apparecchiature fotografich — Pericolo vs Metodo81+,SICURIX_TALES_0323_267030_fabbricazione_di_apparecchiature_fotogra_SICUREZZA_v1.png
0324,27.11.00,"Fabbricazione di motori, generatori e trasformatori elettrici",Sicurezza,Segnalex|Riskix,Scudix|Formix,"Fabbricazione di motori, generatori e trasfo — Pericolo vs Metodo81+",SICURIX_TALES_0324_271100_fabbricazione_di_motori_generatori_e_tra_SICUREZZA_v1.png
0325,27.12.00,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Fabbricazione di apparecchiature per la dist — Pericolo vs Metodo81+,SICURIX_TALES_0325_271200_fabbricazione_di_apparecchiature_per_la__SICUREZZA_v1.png
0326,27.20.00,Fabbricazione di batterie e accumulatori,Sicurezza,Cadutix|Schiaccix,Formix|Scudix,Fabbricazione di batterie e accumulatori — Pericolo vs Metodo81+,SICURIX_TALES_0326_272000_fabbricazione_di_batterie_e_accumulatori_SICUREZZA_v1.png
0327,27.31.00,Fabbricazione di cavi in fibra ottica,Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Fabbricazione di cavi in fibra ottica — Pericolo vs Metodo81+,SICURIX_TALES_0327_273100_fabbricazione_di_cavi_in_fibra_ottica_SICUREZZA_v1.png
0328,27.32.00,Fabbricazione di altri fili e cavi elettronici ed elettrici,Sicurezza,Voltix|Fumix,Scudix|Formix,Fabbricazione di altri fili e cavi elettroni — Pericolo vs Metodo81+,SICURIX_TALES_0328_273200_fabbricazione_di_altri_fili_e_cavi_elett_SICUREZZA_v1.png
0329,27.33.00,Fabbricazione di attrezzature per cablaggio,Sicurezza,Fumix|Polverix,Prepostix|Checkix,Fabbricazione di attrezzature per cablaggio — Pericolo vs Metodo81+,SICURIX_TALES_0329_273300_fabbricazione_di_attrezzature_per_cablag_SICUREZZA_v1.png
0330,27.40.01,Fabbricazione di apparecchiature per l'illuminazione per mezzi di trasporto,Sicurezza,Polverix|Nondpix,Formix|Scudix,Fabbricazione di apparecchiature per l'illum — Pericolo vs Metodo81+,SICURIX_TALES_0330_274001_fabbricazione_di_apparecchiature_per_l_i_SICUREZZA_v1.png
0331,27.40.02,Fabbricazione di luminarie per feste,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Fabbricazione di luminarie per feste — Pericolo vs Metodo81+,SICURIX_TALES_0331_274002_fabbricazione_di_luminarie_per_feste_SICUREZZA_v1.png
0332,27.40.09,Fabbricazione di altre apparecchiature per l'illuminazione,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Fabbricazione di altre apparecchiature per l — Pericolo vs Metodo81+,SICURIX_TALES_0332_274009_fabbricazione_di_altre_apparecchiature_p_SICUREZZA_v1.png
0333,27.51.00,Fabbricazione di elettrodomestici,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Fabbricazione di elettrodomestici — Pericolo vs Metodo81+,SICURIX_TALES_0333_275100_fabbricazione_di_elettrodomestici_SICUREZZA_v1.png
0334,27.52.00,Fabbricazione di apparecchi non elettrici per uso domestico,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Fabbricazione di apparecchi non elettrici pe — Pericolo vs Metodo81+,SICURIX_TALES_0334_275200_fabbricazione_di_apparecchi_non_elettric_SICUREZZA_v1.png
0335,27.90.01,Fabbricazione di apparecchiature elettriche per saldatura e brasatura,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Fabbricazione di apparecchiature elettriche  — Pericolo vs Metodo81+,SICURIX_TALES_0335_279001_fabbricazione_di_apparecchiature_elettri_SICUREZZA_v1.png
0336,27.90.02,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione,Sicurezza,Caosix|Segnalex,Scudix|Formix,Fabbricazione di insegne elettriche e appare — Pericolo vs Metodo81+,SICURIX_TALES_0336_279002_fabbricazione_di_insegne_elettriche_e_ap_SICUREZZA_v1.png
0337,27.90.03,"Fabbricazione di capacitori, resistenze, condensatori elettrici e simili",Sicurezza,Segnalex|Riskix,Prepostix|Checkix,"Fabbricazione di capacitori, resistenze, con — Pericolo vs Metodo81+",SICURIX_TALES_0337_279003_fabbricazione_di_capacitori_resistenze_c_SICUREZZA_v1.png
0338,27.90.04,"Fabbricazione di apparecchiature elettriche per parrucchieri, solarium e centri estetici",Sicurezza,Riskix|Cadutix,Formix|Scudix,Fabbricazione di apparecchiature elettriche  — Pericolo vs Metodo81+,SICURIX_TALES_0338_279004_fabbricazione_di_apparecchiature_elettri_SICUREZZA_v1.png
0339,27.90.09,Fabbricazione di altre apparecchiature elettriche n.c.a.,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Fabbricazione di altre apparecchiature elett — Pericolo vs Metodo81+,SICURIX_TALES_0339_279009_fabbricazione_di_altre_apparecchiature_e_SICUREZZA_v1.png
0340,28.11.10,"Fabbricazione di motori, esclusi motori per aeromobili, veicoli e motocicli",Sicurezza,Schiaccix|Voltix,Scudix|Formix,"Fabbricazione di motori, esclusi motori per  — Pericolo vs Metodo81+",SICURIX_TALES_0340_281110_fabbricazione_di_motori_esclusi_motori_p_SICUREZZA_v1.png
0341,28.11.20,Fabbricazione di turbine,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Fabbricazione di turbine — Pericolo vs Metodo81+,SICURIX_TALES_0341_281120_fabbricazione_di_turbine_SICUREZZA_v1.png
0342,28.12.00,Fabbricazione di apparecchiature fluidodinamiche,Sicurezza,Fumix|Polverix,Formix|Scudix,Fabbricazione di apparecchiature fluidodinam — Pericolo vs Metodo81+,SICURIX_TALES_0342_281200_fabbricazione_di_apparecchiature_fluidod_SICUREZZA_v1.png
0343,28.13.00,Fabbricazione di altre pompe e compressori,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Fabbricazione di altre pompe e compressori — Pericolo vs Metodo81+,SICURIX_TALES_0343_281300_fabbricazione_di_altre_pompe_e_compresso_SICUREZZA_v1.png
0344,28.14.00,Fabbricazione di altri rubinetti e valvole,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Fabbricazione di altri rubinetti e valvole — Pericolo vs Metodo81+,SICURIX_TALES_0344_281400_fabbricazione_di_altri_rubinetti_e_valvo_SICUREZZA_v1.png
0345,28.15.00,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione",Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,"Fabbricazione di cuscinetti, ingranaggi e or — Pericolo vs Metodo81+",SICURIX_TALES_0345_281500_fabbricazione_di_cuscinetti_ingranaggi_e_SICUREZZA_v1.png
0346,28.21.10,Fabbricazione di forni,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Fabbricazione di forni — Pericolo vs Metodo81+,SICURIX_TALES_0346_282110_fabbricazione_di_forni_SICUREZZA_v1.png
0347,28.21.20,Fabbricazione di caldaie e apparecchiature fisse per il riscaldamento domestico,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Fabbricazione di caldaie e apparecchiature f — Pericolo vs Metodo81+,SICURIX_TALES_0347_282120_fabbricazione_di_caldaie_e_apparecchiatu_SICUREZZA_v1.png
0348,28.22.01,"Fabbricazione di ascensori, scale mobili e tappeti mobili",Sicurezza,Improvvisix|Caosix,Scudix|Formix,"Fabbricazione di ascensori, scale mobili e t — Pericolo vs Metodo81+",SICURIX_TALES_0348_282201_fabbricazione_di_ascensori_scale_mobili__SICUREZZA_v1.png
0349,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Fabbricazione di altri apparecchi di solleva — Pericolo vs Metodo81+,SICURIX_TALES_0349_282209_fabbricazione_di_altri_apparecchi_di_sol_SICUREZZA_v1.png
0350,28.23.00,"Fabbricazione di macchine e attrezzature per ufficio, esclusi computer e unità periferiche",Sicurezza,Segnalex|Riskix,Formix|Scudix,Fabbricazione di macchine e attrezzature per — Pericolo vs Metodo81+,SICURIX_TALES_0350_282300_fabbricazione_di_macchine_e_attrezzature_SICUREZZA_v1.png
