pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0701,46.84.10,Commercio all'ingrosso di ferramenta,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Commercio all'ingrosso di ferramenta — Pericolo vs Metodo81+,SICURIX_TALES_0701_468410_commercio_all_ingrosso_di_ferramenta_SICUREZZA_v1.png
0721,47.12.90,Commercio al dettaglio non specializzato di altri prodotti n.c.a.,Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Commercio al dettaglio non specializzato di  — Pericolo vs Metodo81+,SICURIX_TALES_0721_471290_commercio_al_dettaglio_non_specializzato_SICUREZZA_v1.png
0722,47.21.01,Commercio al dettaglio di frutta e verdura fresca,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Commercio al dettaglio di frutta e verdura f — Pericolo vs Metodo81+,SICURIX_TALES_0722_472101_commercio_al_dettaglio_di_frutta_e_verdu_SICUREZZA_v1.png
0723,47.21.02,Commercio al dettaglio di frutta e verdura secca e conservata,Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,Commercio al dettaglio di frutta e verdura s — Pericolo vs Metodo81+,SICURIX_TALES_0723_472102_commercio_al_dettaglio_di_frutta_e_verdu_SICUREZZA_v1.png
0724,47.22.00,Commercio al dettaglio di carne e di prodotti a base di carne,HACCP,Scadutix|Mescolix,Checkix|Hygienix,Commercio al dettaglio di carne e di prodott — Pericolo vs Metodo81+,SICURIX_TALES_0724_472200_commercio_al_dettaglio_di_carne_e_di_pro_HACCP_v1.png
0725,47.23.00,"Commercio al dettaglio di pesce, crostacei e molluschi",HACCP,Mescolix|Dosagix,Chefix|Traccix,"Commercio al dettaglio di pesce, crostacei e — Pericolo vs Metodo81+",SICURIX_TALES_0725_472300_commercio_al_dettaglio_di_pesce_crostace_HACCP_v1.png
0726,47.24.10,Commercio al dettaglio di pane,Sicurezza,Caosix|Segnalex,Formix|Scudix,Commercio al dettaglio di pane — Pericolo vs Metodo81+,SICURIX_TALES_0726_472410_commercio_al_dettaglio_di_pane_SICUREZZA_v1.png
0727,47.24.20,Commercio al dettaglio di pasticceria e dolciumi,HACCP,Acquaix|Sporckix,Traccix|Checkix,Commercio al dettaglio di pasticceria e dolc — Pericolo vs Metodo81+,SICURIX_TALES_0727_472420_commercio_al_dettaglio_di_pasticceria_e__HACCP_v1.png
0728,47.25.00,Commercio al dettaglio di bevande,HACCP,Sporckix|Crossix,Blinkix|Chefix,Commercio al dettaglio di bevande — Pericolo vs Metodo81+,SICURIX_TALES_0728_472500_commercio_al_dettaglio_di_bevande_HACCP_v1.png
0729,47.26.01,Commercio al dettaglio di tabacco in qualsiasi forma,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Commercio al dettaglio di tabacco in qualsia — Pericolo vs Metodo81+,SICURIX_TALES_0729_472601_commercio_al_dettaglio_di_tabacco_in_qua_SICUREZZA_v1.png
0730,47.26.02,Commercio al dettaglio di sigarette elettroniche e di liquidi per inalazione per sigarette elettroniche,Sicurezza,Schiaccix|Voltix,Formix|Scudix,Commercio al dettaglio di sigarette elettron — Pericolo vs Metodo81+,SICURIX_TALES_0730_472602_commercio_al_dettaglio_di_sigarette_elet_SICUREZZA_v1.png
0731,47.26.09,Commercio al dettaglio di altri accessori per fumatori,Sicurezza,Voltix|Fumix,Checkix|Prepostix,Commercio al dettaglio di altri accessori pe — Pericolo vs Metodo81+,SICURIX_TALES_0731_472609_commercio_al_dettaglio_di_altri_accessor_SICUREZZA_v1.png
0732,47.27.10,Commercio al dettaglio di latte e prodotti lattiero-caseari,HACCP,Mescolix|Dosagix,Traccix|Checkix,Commercio al dettaglio di latte e prodotti l — Pericolo vs Metodo81+,SICURIX_TALES_0732_472710_commercio_al_dettaglio_di_latte_e_prodot_HACCP_v1.png
0733,47.27.20,Commercio al dettaglio di caffè,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Commercio al dettaglio di caffè — Pericolo vs Metodo81+,SICURIX_TALES_0733_472720_commercio_al_dettaglio_di_caff_SICUREZZA_v1.png
0734,47.27.30,Commercio al dettaglio di integratori alimentari e prodotti dietetici,HACCP,Acquaix|Sporckix,Checkix|Hygienix,Commercio al dettaglio di integratori alimen — Pericolo vs Metodo81+,SICURIX_TALES_0734_472730_commercio_al_dettaglio_di_integratori_al_HACCP_v1.png
0735,47.27.90,Commercio al dettaglio di altri prodotti alimentari n.c.a.,HACCP,Sporckix|Crossix,Chefix|Traccix,Commercio al dettaglio di altri prodotti ali — Pericolo vs Metodo81+,SICURIX_TALES_0735_472790_commercio_al_dettaglio_di_altri_prodotti_HACCP_v1.png
0736,47.30.00,Commercio al dettaglio di carburanti per autotrazione,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Commercio al dettaglio di carburanti per aut — Pericolo vs Metodo81+,SICURIX_TALES_0736_473000_commercio_al_dettaglio_di_carburanti_per_SICUREZZA_v1.png
0737,47.40.10,"Commercio al dettaglio di computer, unità periferiche e software",Privacy,Cancelix|Leakix,Consensix|Luxpectorix,"Commercio al dettaglio di computer, unità pe — Pericolo vs Metodo81+",SICURIX_TALES_0737_474010_commercio_al_dettaglio_di_computer_unit__PRIVACY_v1.png
0738,47.40.20,Commercio al dettaglio di apparecchiature per telecomunicazioni,Privacy,Leakix|Phishix,Documix|Privacix,Commercio al dettaglio di apparecchiature pe — Pericolo vs Metodo81+,SICURIX_TALES_0738_474020_commercio_al_dettaglio_di_apparecchiatur_PRIVACY_v1.png
0739,47.40.30,Commercio al dettaglio di apparecchiature radiotelevisive,Sicurezza,Caosix|Segnalex,Checkix|Prepostix,Commercio al dettaglio di apparecchiature ra — Pericolo vs Metodo81+,SICURIX_TALES_0739_474030_commercio_al_dettaglio_di_apparecchiatur_SICUREZZA_v1.png
0740,47.51.10,Commercio al dettaglio di tessuti per abbigliamento e arredamento,Sicurezza,Segnalex|Riskix,Scudix|Formix,Commercio al dettaglio di tessuti per abbigl — Pericolo vs Metodo81+,SICURIX_TALES_0740_475110_commercio_al_dettaglio_di_tessuti_per_ab_SICUREZZA_v1.png
0741,47.51.20,Commercio al dettaglio di filati per maglieria e merceria,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Commercio al dettaglio di filati per maglier — Pericolo vs Metodo81+,SICURIX_TALES_0741_475120_commercio_al_dettaglio_di_filati_per_mag_SICUREZZA_v1.png
0742,47.52.10,"Commercio al dettaglio di ferramenta, vernici, vetro e materiale elettrico e termoidraulico",Sicurezza,Cadutix|Schiaccix,Formix|Scudix,"Commercio al dettaglio di ferramenta, vernic — Pericolo vs Metodo81+",SICURIX_TALES_0742_475210_commercio_al_dettaglio_di_ferramenta_ver_SICUREZZA_v1.png
0743,47.52.20,Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento,Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,Commercio al dettaglio di articoli igienico- — Pericolo vs Metodo81+,SICURIX_TALES_0743_475220_commercio_al_dettaglio_di_articoli_igien_SICUREZZA_v1.png
0744,47.52.31,Commercio al dettaglio di porte e finestre,Sicurezza,Voltix|Fumix,Scudix|Formix,Commercio al dettaglio di porte e finestre — Pericolo vs Metodo81+,SICURIX_TALES_0744_475231_commercio_al_dettaglio_di_porte_e_finest_SICUREZZA_v1.png
0745,47.52.32,"Commercio al dettaglio di altri materiali da costruzione, mattoni e piastrelle n.c.a.",Sicurezza,Fumix|Polverix,Prepostix|Checkix,Commercio al dettaglio di altri materiali da — Pericolo vs Metodo81+,SICURIX_TALES_0745_475232_commercio_al_dettaglio_di_altri_material_SICUREZZA_v1.png
0746,47.52.40,Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica,Sicurezza,Polverix|Nondpix,Formix|Scudix,Commercio al dettaglio di attrezzature per i — Pericolo vs Metodo81+,SICURIX_TALES_0746_475240_commercio_al_dettaglio_di_attrezzature_p_SICUREZZA_v1.png
0747,47.53.11,Commercio al dettaglio di tappeti e moquette,Sicurezza,Nondpix|Segnalex,Checkix|Prepostix,Commercio al dettaglio di tappeti e moquette — Pericolo vs Metodo81+,SICURIX_TALES_0747_475311_commercio_al_dettaglio_di_tappeti_e_moqu_SICUREZZA_v1.png
0748,47.53.12,Commercio al dettaglio di tende,Sicurezza,Segnalex|Sottovalutix,Scudix|Formix,Commercio al dettaglio di tende — Pericolo vs Metodo81+,SICURIX_TALES_0748_475312_commercio_al_dettaglio_di_tende_SICUREZZA_v1.png
0749,47.53.20,Commercio al dettaglio di rivestimenti per pareti e pavimenti,Sicurezza,Sottovalutix|Frettix,Prepostix|Checkix,Commercio al dettaglio di rivestimenti per p — Pericolo vs Metodo81+,SICURIX_TALES_0749_475320_commercio_al_dettaglio_di_rivestimenti_p_SICUREZZA_v1.png
0750,47.54.00,Commercio al dettaglio di elettrodomestici,Sicurezza,Frettix|Improvvisix,Formix|Scudix,Commercio al dettaglio di elettrodomestici — Pericolo vs Metodo81+,SICURIX_TALES_0750_475400_commercio_al_dettaglio_di_elettrodomesti_SICUREZZA_v1.png
